id_localidad;tipo_propiedad;nombre_conjunto;direccion
2;Edificio;PORTAL DE LA 94;CL94#15-28
1;Edificio;MIRADOR DEL CEDRO P H;KR19A#151-46
1;Conjunto Residencial;GRANADA HILLS;CL147#21-75
1;Edificio;TERRANOVA;CL120#15A-78
1;Urbanización;SANTACOLOMA MANZANA C PROPIEDAD HORIZONTAL;KR21#133-65
2;Edificio;NODO 97 19;CL97#19A-54
1;Edificio;RINCON DE CAPRI;KR20#148-52
3;Edificio;QUINTA 33 PH;CL33BisA#4D-17
2;Edificio;ZULIED;CL85#9-70
1;Edificio;REMANSO PARK PROPIEDAD HORIZONTAL;KR23#140-39
9;Conjunto Residencial;SABANAGRANDE SUPERLOTE DOS;KR104#13D-76AD
1;Conjunto Residencial;LA CORUÑA;KR17#146-62
1;Agrupación de Vivienda;RINCON DEL PUENTE I;CL184#20-50
2;Edificio;INES PROPIEDAD HORIZONTAL;KR19A#85-48
7;Conjunto Residencial;CASA GRANDE MANZANA 5;TV70A#71-35SUR
1;Conjunto Residencial;EL VALLE DE USAQUEN CONJUNTO 2  PH;KR19#183-30
13;Edificio;ZIRCON;KR37#57A-25
2;Edificio;ARROYO VIEJO;CL70A#1-46
18;Conjunto Residencial;ARBOLEDA DE SAN CARLOS;CL34BisSUR#12-71
1;Edificio;PARQUE LA CALLEJA;CL132A#19-84
8;Conjunto Residencial;EL PINAR;KR97#42-31SUR
3;Edificio;CENTRO COLSEGUROS PROPIEDAD HORIZONTAL;CL18#9-79LC113
1;Edificio;RINCON DEL PARQUE;KR21A#159A-04
1;Edificio;LUCIA CRISTINA;TV28#136-54
9;Agrupación de Vivienda;BOSQUE DE MODELIA II ETAPA LOTE 6;CL24C#84-86
1;Edificio;DECCO II;KR20#134A-30
1;Edificio;NT TOWER;CL126A#7C-37
1;Conjunto Residencial;TORRES DE CEDRO PLAZA;KR8A#151-71
1;Edificio;FLOR DEL CEDRO;KR21A#159A-42
1;Edificio;EDIFICIO SAUCES DEL CHICO;CL103#17A-28
1;Conjunto Residencial;LA PRADERA ETAPA I;CL169#16C-92
1;Edificio;ALPADI 2;KR11#118-51
9;Conjunto Residencial;SABANAGRANDE II SUPERLOTE CINCO;KR106#14-89
1;Edificio;ARBOLEDA PARK;CL103A#21-93
3;Edificio;EDIFICIO LA LOMA;KR4A#26A-44
9;Conjunto Residencial;SENDEROS DE LA ESTANCIA I;KR123#14-60
8;Agrupación Residencial;SANTAFE DEL TINTAL  PRIMERA ETAPA;KR88#6A-99
8;Agrupación Multifamiliar;NUEVA ROMA SUPERMANZANA CINCO PRIME;CL57CSUR#77I-90AD
1;Edificio;TRENTO;KR19A#122-30
11;Agrupación de Vivienda;LAS NAVETAS II;CL147#99-68
1;Edificio;HORIZONTES;KR10#118-58
1;Edificio Multifamiliar;OIKIA;KR7D#108A-26ED
1;Edificio;VALDEMAR PORTAL DE SANTA BÃÂRBARA;KR20#122-58
1;Edificio;LA PETITE MAISON;CL146#15-50
10;Conjunto Residencial;QUINTAS DE LA SABANA ETAPA 4;DG77B#123A-85
19;Conjunto Residencial;LOS ROBLES;TV63#68F-27SUR
1;Edificio;SAN PATRICIO PROPIEDAD HORIZONTAL;KR15A#106-32
1;Edificio;ALLEGRO PH;CL146#12A-27
1;Edificio;LOS VITRALES;CL116#9-65
1;Edificio;CEDROS DEL NORTE I PROPIEDAD HORIZO;KR13#140-92
8;Casas;UNIDAD RESIDENCIAL ROMA II PROPIEDAD HORIZONTAL;CL56ASUR#78I-14
13;Edificio;KAYUTSH;DG46A#16A-20
1;Edificio;CALABRIA;CL143#9-80
10;Agrupación de Vivienda;NUEVA GRANADA;KR114A#78-21
8;Conjunto Residencial;TORRES DE SANTA BARBARA;KR80#8-11
2;Edificio;LA PLAZOLETA;KR6#80-23
9;Edificio;MODELIA 88;CL23ABis#83-25AD
1;Edificio;CAROLINA COUNTRY PLAZA PH;KR13A#127B-65
13;Edificio;AMANDA;KR26#39A-20
3;Edificio;EDIFICIO AVENIDA CENTRAL;AK14#34-86
2;Edificio;CALLE 74;CL74#10-35
11;Agrupación Residencial;LAGUNA TRES Y CUATRO;KR121#128B-21AD
11;Condominio;LA PLAZUELA II Y III;CL150#45-44
9;Conjunto Residencial;VIVA 26;KR83#25G-60
1;Conjunto Residencial;LA ARBOLEDA DEL COUNTRY PH;KR9A#128-60
13;Edificio;SAN REMO II;CL62#45-18
9;Conjunto Residencial;LA AZALEA;CL23C#69D-24
11;Agrupación de Vivienda;CAMPANELLA RESERVADO;CL154A#96-40
11;Edificio;DON PEDRO;CL138#50-36
9;Conjunto Residencial;MIRADOR DE FONTIBON;CL17C#135-51
13;Edificio;EDIFICIO EL RECUERDO VI PH;KR40#25-78
1;Edificio;TORRE SAN MARINO PROPIEDAD HORIZONT;AK9#127C-36
4;Proyecto;BOSQUE DE LOS ALPES ETAPA 3;KR11ESTE#36G-80SUR
1;Edificio;OMEGA 134 PROPIEDAD HORIZONTAL;KR23#134A-09
1;Edificio;ANGELA MARIA PROPIEDAD HORIZONTAL;CL117A#9A-40
13;Copropiedad;NATIVOS PH;TV20#46-35
3;Edificio;LAS VEGAS;KR4#19-78
13;Edificio;NILO 1;CL24C#43A-50
19;Agrupación de Vivienda;CANDELARIA LA NUEVA SEGUNDO SECTOR SEGUNDA ETAPA;TV49#59C-73SUR
1;Edificio;AQUARIUS;KR11#116-31
13;Edificio;BALCONES DE FEDERMAN;KR36A#53A-86
3;Edificio Residencial;EDIFICIO COQUIBACOA PROPIEDAD HORIZONTAL;CL26B#4-22/24
1;Conjunto Residencial;ROSA DE LOS VIENTOS;KR13#149A-56
11;Unidad Residencial;ALTAMIRA 1;KR100#148-58AD
1;Edificio;CONCORD CENTER 122;TV17#120-74
1;Edificio;MAJESTIC PROPIEDAD HORIZONTAL;KR18C#112-60
11;Conjunto Residencial;PONTENOVO APARTAMENTOS;CL93#72-20
1;Copropiedad;CONDOMINIO COUNTRY RESERVADO;KR7B#134B-11
8;Conjunto Residencial;TONOLI PH;DG40CSUR#73-20
1;Edificio;PORTUGAL XV PROPIEDAD HORIZONTAL;KR17#134A-91
1;Agrupación de Vivienda;LAS CUATRO ESTACIONES;KR5#108A-67
1;Edificio;CALIFORNIA ANTIGUA II;KR9B#134B-20
14;Conjunto;CONTINENTAL BOGOTA;KR13#4-16
10;Conjunto Residencial;BALCONES DE GRANADA III;TV120#77-21
11;Conjunto Residencial;LA FLORESTA RESERVADA;CL95#69B-56
18;Urbanización;MOLINOS DE LA CARACAS;KR10D#49H-01SUR
1;Edificio;AVENIDA 19;AV19#125-65
1;Edificio;ZIRIU - PROPIEDAD HORIZONTAL;KR15A#119-27
9;Conjunto Residencial;CONJUNTO TORRES DEL RUBI;CL23D#96F-20
10;Conjunto Residencial;JARDINES DE CASTILLA ETAPA II;CL6C#90-74
1;Edificio Multifamiliar;VILLA STELLA;KR18B#145-48
13;Edificio;LITAVIRA;KR16#32-83
11;Edificio;PORTAL DE PUENTE LARGO;TV58#104B-50
7;Conjunto Residencial;ALAMEDA DEL PARQUE 11;DG73SUR#78I-70AD
2;Edificio;TERUEL;CL79#10-50
9;Edificio Multifamiliar;SALAMANCA;CL16J#96C-24
2;Edificio;BETANIA II;KR13#91-30
13;Edificio;RESERVA DE NICOLAS;CL61#37-51
5;Conjunto Multifamiliar;TEST PROPIEDAD TRES 18 JULIO;AC124BSUR#3-3
1;Edificio;HORIZONTES PROPIEDAD HORIZONTAL;CL117A#9B-61
8;Agrupación de Vivienda;el portal de las americas c;CL6C#72B-15
11;Conjunto Parque Residencial;LOS CEREZOS DE SUBA;KR111A#145-87
1;Edificio;ALCAZAR DEL CEDRO;CL145#7B-90
1;Edificio;CAROLINA REAL;KR14#127-30
10;Edificio;SIERRA HORIZONTE;CL53A#72A-20
11;Edificio Residencial;IBIZA I PROPIEDAD HORIZONTAL;CL149#45-37
1;Edificio;IBIZA DE LA SABANA PROPIEDAD HORIZONTAL;KR10A#119-30
3;Edificio;CALLE 17;CL17#5-21
10;Conjunto Residencial;LOS FRAILEJONES PROPIEDAD HORIZONTAL;DG80#113-46
1;Edificio;CAVIPETROL PH;AV19#151-52
1;Conjunto Residencial;REDIL DE CASTILLA III;CL174#8-31
1;Edificio;TORRES DE ARATOCA;KR17A#113-77
1;Edificio;CONCORDE;AC127#13-08
2;Edificio;3 PARK;KR10#93-42
1;Edificio;LOS TUNJOS;CL147#7C-79
1;Edificio;CEDRAL 10;KR12C#152-75
16;Conjunto Residencial;AMERICAS 68 MZ 2;AK68#1A-55
1;Edificio;INFINITY VI;KR22#134A-34
1;Edificio Multifamiliar;PALMEIRA PROPIEDAD HORIZONTAL;KR22#101-32
8;Casas;CONJUNTO RESIDENCIAL PORTAL DE MANDALAY;AC3#75-51
1;Edificio;NOVO 146 PROPIEDAD HORIZONTAL;KR7B#146-16
1;Conjunto Multifamiliar;EL VALLE DE USAQUEN 1;CL184#18-22
1;Edificio;PALMA REAL II;KR19B#159-80
1;Edificio;MALKA;KR15#143-07
9;Conjunto Residencial;HAYUELOS RESERVADO II;KR96F#22K-40
8;Conjunto Cerrado;PORTAL DE CASTILLA;CL6C#82A-8
18;Copropiedad;VIVIENDA MULTIFAMILIAR SOTO STEVEN PH;CL33SUR#26D-19
11;Edificio;EDIFICIO TERRANOVA;KR53#115-15
10;Conjunto Residencial;PORTAL DE SAN ANGEL VI;KR114#80-51
1;Conjunto Residencial;NUEVO HORIZONTE;CL167#16-45
1;Edificio;ICANTI;KR18C#122-99
1;Edificio;SIGMA II;CL145A#12A-62
11;Edificio;NATURA;CL108#45A-59
1;Edificio;LOS ALMENDROS;KR11#114-20
1;Edificio;ALICANTE;KR13Bis#108-22
1;Edificio;TORRES DE PIEDECUESTA;KR11#144-22
18;Edificio Multifamiliar;EDIFICIO CAMINOS DE PAEZ;CL36SUR#26F-24
1;Edificio;IPANEMA;CL145#7B-58
9;Agrupación de Vivienda;VALPARAISO FONTIBON 1 ETAPA;KR96B#16H-70ADADAD
1;Edificio;ZAGREB;KR21#127D-15
10;Agrupación de Vivienda;LA RELIQUIA;CL63B#71C-48
2;Edificio;AREA 91;KR17#90-57
3;Edificio;LA CASONA DE SAN ANSELMO PROPIEDAD HORIZONTAL;KR4A#26B-50
1;Edificio;CAMINOS DE SANTA CECILIA PROPIEDAD HORIZONTAL;CL145#17-69
8;Conjunto Residencial;NUEVA CASTILLA ETAPA 2;CL8C#87B-90
11;Edificio;REFUGIO DEL PRADO;CL134B#50-58AD
1;Conjunto Multifamiliar;TIERRA SANTA I;KR8F#166-78
8;Unidad Residencial;CASABLANCA1;KR79B#50-00SUR
1;Edificio;PORTAL DEL CHICO I PROPIEDAD HORIZONTAL;CL105#21-82
3;Edificio;RESIDENCIAS LA MACARENA;KR5#28-46
2;Edificio;N78;KR5#78-20
8;Conjunto Residencial;RECODO DE SAN FELIPE  ETAPA 1;KR69D#3-80SUR
1;Edificio;DECAMERON;CL102#17-27
1;Edificio;SABAL PROPIEDAD HORIZONTAL;CL127ABisA#15-37
1;Conjunto Residencial;SANTA COLOMA UNIDAD CUATRO PROPIEDAD HORIZONTAL;AK45#128D-40
9;Copropiedad;CAPELLANIA CENTRAL CONJUNTO RESIDENCIAL;KR87#17-59
13;Conjunto Residencial;PLAZUELA DE TOSCANA;CL22#60-51
1;Edificio;TORRE BELLAGIO;CL142#20-94
1;Conjunto Residencial;CAMPANIA;KR7#148-22
8;Edificio;PLAZA DEL PARQUE PH;CL23SUR#68H-10
10;Conjunto Residencial;CONDADO DE TABORA;KR77B#72A-35
9;Conjunto Residencial;VALPARAISO SEGUNDO SECTOR LOTE II;KR96B#16-20
1;Conjunto Residencial;BRISAS DEL NORTE;KR6#183-45
11;Conjunto Residencial;PLAZA DE CORDOBA;TV60#119-30
1;Edificio;PRANA PROPIEDAD HORIZONTAL;CL146#15-41
1;Agrupación de Vivienda;SENORIAL 2 SECTOR II PH;KR8H#165A-43
1;Edificio;CEDRO 145 PROPIEDAD HORIZONTAL;CL145#17-64
2;Edificio;CIPRES;CL97#19A-80
1;Apartamentos;CORREDOR HERNANDEZ III;KR17A#116-40
1;Edificio;VERDESOL;CL131#19-32
11;Conjunto Residencial;CONDADO DE IBERIA III;CL134A#53-82
1;Edificio;MIRADOR DEL CERRO;CL103#11B-10
1;Edificio;RINCON DEL PARQUE  PROPIEDAD HORIZONTAL;KR11#146-07
1;Conjunto;SAN FRANCISCO;DG109#21-86
8;Conjunto Residencial;CASTILLA IMPERIAL;CL8#86-65
8;Conjunto Residencial;ALSACIA REAL;CL12A#71B-41
1;Edificio Multifamiliar;PRADOS DEL COUNTRY PH;CL134#10A-40
1;Edificio;DANVINCI PARQUE 105;KR17#105-51
13;Edificio;ANKARA;TV27A#53B-19
1;Edificio;SYLVIA PROPIEDAD HORIZONTAL;KR7#145-58
6;Agrupación de Vivienda Multifamiliar;EDIFICIO BALCONES DE YINETH;CL53SUR#31-36
4;Parque Residencial;SAN JERONIMO DE YUSTE;CL16SUR#18-49ESTE
10;Edificio Multifamiliar;MARIA CAMILA PROPIEDAD HORIZONTAL;KR84#75-85
9;Conjunto Residencial;MANZANA E  URB CARLOS LLERAS RESTRE;CL23C#69F-65
1;Edificio;BALMORAL I PH;CL119#9A-48
1;Edificio;CARIARI;KR17A#103-27
8;Asociación de Copropietarios;UNIDAD DE VIVIENDA PASTRANA;CL42FSUR#78G-61
